#,Medicamento (Principio Activo),Categoría Principal,Búsquedas Mensuales Estimadas (México)
"102,Dapagliflozina (Forxiga),Antidiabético / Insuficiencia cardíaca,""25,000 - 45,000""",,,
"103,Bromuro de pinaverio,Antiespasmódico / Colitis,""25,000 - 45,000""",,,
"104,Trimebutina,Regulador del tránsito intestinal,""20,000 - 40,000""",,,
"105,Etoricoxib (Arcoxia),Antiinflamatorio / Analgésico,""20,000 - 40,000""",,,
"106,Duloxetina,Antidepresivo / Dolor neuropático,""20,000 - 40,000""",,,
"107,Valproato de sodio / Ácido valproico,Anticonvulsivo / Estabilizador del ánimo,""20,000 - 35,000""",,,
"108,Levetiracetam,Antiepiléptico,""20,000 - 35,000""",,,
"109,Tamsulosina,Hiperplasia prostática benigna,""20,000 - 35,000""",,,
"110,Allopurinol,Tratamiento de la gota / Ácido úrico,""18,000 - 35,000""",,,
"111,Ondansetrón,Antiemético (Náuseas severas),""18,000 - 35,000""",,,
"112,Acetilcisteína,Mucolítico / Antioxidante,""18,000 - 35,000""",,,
"113,Isotretinoína,Tratamiento del acné severo,""18,000 - 35,000""",,,
"114,Aciclovir,Antiviral (Herpes),""18,000 - 35,000""",,,
"115,Venlafaxina,Antidepresivo / Ansiolítico,""18,000 - 30,000""",,,
"116,Metilfenidato (Ritalin / Concerta),Tratamiento del TDAH,""18,000 - 35,000""",,,
"117,Diazepam,Ansiolítico / Relajante muscular,""18,000 - 30,000""",,,
"118,Lorazepam,Ansiolítico (Venta controlada),""18,000 - 30,000""",,,
"119,Metocarbamol,Relajante muscular,""15,000 - 30,000""",,,
"120,Dexketoprofeno,Analgésico / Antiinflamatorio,""15,000 - 30,000""",,,
"121,Carbamazepina,Anticonvulsivo / Neuropatía,""15,000 - 30,000""",,,
"122,Bezafibrato,Control de triglicéridos,""15,000 - 28,000""",,,
"123,Candesartán,Antihipertensivo,""15,000 - 28,000""",,,
"124,Valsartán,Antihipertensivo,""15,000 - 28,000""",,,
"125,Irbesartán,Antihipertensivo,""15,000 - 28,000""",,,
"126,Budesonida,Corticoide inhalado / Nasal,""15,000 - 30,000""",,,
"127,Levocetirizina,Antihistamínico,""15,000 - 30,000""",,,
"128,Fosfomicina,Antibiótico para infección urinaria,""15,000 - 30,000""",,,
"129,Cefuroxima,Antibiótico,""15,000 - 28,000""",,,
"130,Nifedipino,Antihipertensivo / Antianginoso,""15,000 - 28,000""",,,
"131,Zolpidem,Inductor del sueño / Insomnio,""15,000 - 28,000""",,,
"132,Risperidona,Antipsicótico,""15,000 - 28,000""",,,
"133,Ezetimiba,Reducción de colesterol,""12,000 - 25,000""",,,
"134,Fenofibrato,Control de triglicéridos,""12,000 - 25,000""",,,
"135,Sucralfato,Protector de la mucosa gástrica,""12,000 - 25,000""",,,
"136,Quinfamida con Nitazoxanida,Antiparasitario combinado,""12,000 - 25,000""",,,
"137,Dimenhidrinato (Dramamine),Antiemético / Mareo,""12,000 - 25,000""",,,
"138,Colchicina,Tratamiento del dolor por gota,""12,000 - 25,000""",,,
"139,Baclofeno,Relajante muscular espástico,""12,000 - 22,000""",,,
"140,Tizanidina,Relajante muscular,""12,000 - 22,000""",,,
"141,Bromuro de ipratropio,Broncodilatador,""12,000 - 25,000""",,,
"142,Guaifenesina,Expectorante,""12,000 - 25,000""",,,
"143,Valaciclovir,Antiviral,""12,000 - 22,000""",,,
"144,Itraconazol,Antifúngico,""12,000 - 22,000""",,,
"145,Nistatina,Antifúngico (Oral / Tópico),""12,000 - 25,000""",,,
"146,Paroxetina,Antidepresivo / Ansiolítico,""12,000 - 22,000""",,,
"147,Citalopram,Antidepresivo,""10,000 - 20,000""",,,
"148,Aripiprazol,Antipsicótico / Estabilizador,""10,000 - 20,000""",,,
"149,Lamotrigina,Antiepiléptico / Estabilizador,""10,000 - 20,000""",,,
"150,Topiramato,Antiepiléptico / Migraña,""10,000 - 20,000""",,,
"151,Amitriptilina,Antidepresivo / Dolor crónico,""10,000 - 20,000""",,,
"152,Betametasona,Corticoide tópico / sistémico,""10,000 - 22,000""",,,
"153,Hidrocortisona,Corticoide crema / oral,""10,000 - 20,000""",,,
"154,Tobramicina con Dexametasona,Antibiótico / Antiinflamatorio oftálmico,""10,000 - 20,000""",,,
"155,Hipromelosa,Lubricante ocular (Lágrimas),""10,000 - 22,000""",,,
"156,Latanoprost,Tratamiento del glaucoma,""10,000 - 20,000""",,,
"157,Timolol,Glaucoma / Antihipertensivo ocular,""8,000 - 18,000""",,,
"158,Verapamilo,Antiarrítmico / Antihipertensivo,""8,000 - 16,000""",,,
"159,Diltiazem,Antihipertensivo / Antianginoso,""8,000 - 16,000""",,,
"160,Vildagliptina,Antidiabético,""8,000 - 18,000""",,,
"161,Canagliflozina,Antidiabético,""8,000 - 16,000""",,,
"162,Mesalazina,Antiinflamatorio intestinal,""8,000 - 18,000""",,,
"163,Picosulfato de sodio,Laxante estimulante,""8,000 - 18,000""",,,
"164,Carbocisteína,Mucolítico,""8,000 - 16,000""",,,
"165,Cefaclor,Antibiótico,""8,000 - 16,000""",,,
"166,Cefadroxilo,Antibiótico,""8,000 - 16,000""",,,
"167,Buprenorfina,Analgésico opioide,""8,000 - 18,000""",,,
"168,Oxicodona,Analgésico opioide severo,""8,000 - 18,000""",,,
"169,Morfina,Analgésico opioide severo,""8,000 - 16,000""",,,
"170,Ketorolaco con Tramadol,Analgésico combinado potente,""8,000 - 18,000""",,,
"171,Tamoxifeno,Oncología / Cáncer de mama,""8,000 - 16,000""",,,
"172,Letrozol,Oncología / Cáncer de mama,""8,000 - 16,000""",,,
"173,Bicalutamida,Oncología / Cáncer de próstata,""6,000 - 14,000""",,,
"174,Alendronato,Tratamiento de osteoporosis,""6,000 - 14,000""",,,
"175,Teriparatida,Formador de hueso / Osteoporosis,""5,000 - 12,000""",,,
"176,Permetrina,Tratamiento de sarna / piojos,""6,000 - 14,000""",,,
"177,Calcipotriol,Tratamiento de psoriasis,""5,000 - 12,000""",,,
"178,Ciprofloxacino ótico,Infecciones del oído,""6,000 - 14,000""",,,
"179,Loratadina con Betametasona,Antihistamínico y corticoide,""8,000 - 16,000""",,,
"180,Beclometasona,Corticoide inhalado,""6,000 - 14,000""",,,
"181,Tiotropio,Broncodilatador / EPOC,""6,000 - 14,000""",,,
"182,Voriconazol,Antifúngico de especialidad,""5,000 - 12,000""",,,
"183,Silodosina,Hiperplasia prostática benigna,""5,000 - 12,000""",,,
"184,Haloperidol,Antipsicótico,""6,000 - 14,000""",,,
"185,Trihexifenidilo,Antiparkinsoniano,""5,000 - 10,000""",,,
"186,Levodopa con Carbidopa,Tratamiento del Parkinson,""6,000 - 14,000""",,,
"187,Memantina,Alzheimer / Deterioro cognitivo,""6,000 - 14,000""",,,
"188,Piracetam,Nootrópico / Sistema nervioso,""5,000 - 12,000""",,,
"189,Propafenona,Antiarrítmico,""5,000 - 10,000""",,,
"190,Amiodarona,Antiarrítmico,""6,000 - 12,000""",,,
"191,Nitroglicerina,Vasodilatador / Angina de pecho,""5,000 - 12,000""",,,
"192,Isosorbida,Vasodilatador coronario,""5,000 - 10,000""",,,
"193,Lansoprazol,Antiácido / Protector gástrico,""10,000 - 22,000""",,,
"194,Dexametasona oftálmica,Antiinflamatorio ocular,""6,000 - 12,000""",,,
"195,Tobramicina oftálmica,Antibiótico ocular,""6,000 - 12,000""",,,
"196,Metotrexato,Inmunosupresor / Artritis / Oncología,""6,000 - 14,000""",,,
"197,Azatioprina,Inmunosupresor,""5,000 - 10,000""",,,
"198,Ciclosporina,Inmunosupresor,""5,000 - 10,000""",,,
"199,Tacrolimus,Inmunosupresor / Dermatología,""5,000 - 12,000""",,,
"200,Colestiramina,Control de colesterol / Ácidos biliares,""4,000 - 10,000""",,,
